Head,Category,Year,lat,lon,Deaths
South-Eastern Australia Heatwave 1939,Environmental,1939,-33.1315155,135.5578918,400
Appin Mine Explosion,Industrial,1979,-34.19221115,150.7863312,14
Granville Rail Disaster,Transport,1977,-33.83146286,151.009964,83
Haweis,Shipwreck,1829,-32.24996948,155.6103516,11
Kerang Train and Truck Collision,Transport,2007,-35.76305389,143.9385834,11
Mt Kembla Gas Explosion,Industrial,1902,-34.43048859,150.818161,96
Broome and Region,Shipwreck,1887,-18.8387146,120.0476074,140
Sydney Harbour Ferry Collision,Transport,1927,-33.85607147,151.2440948,40
Mackay 1918,Cyclone,1918,-21.17188644,149.2073364,30
"Iron Crown, War Time Sinking",Complex Emergencies,1942,-37.57271194,149.9047546,37
Cyclone Mahina,Cyclone,1899,-14.1152668,144.3383789,400
Hot Air Balloon Crash,Transport,1989,-23.905299,133.905144,13
Paringa,Shipwreck,1935,-39.15988159,146.2939453,31
HMAS Sydney,Shipwreck,1941,-22.2687645,111.2695313,645
Geltwood,Shipwreck,1876,-37.66126633,140.1385193,30
Wartime Bombing Raids,Complex Emergencies,1942,-12.47060394,130.8434753,243
Goorangai,Shipwreck,1940,-38.28919601,144.6871033,24
Newcastle,Earthquake,1989,-32.92592239,151.7787018,13
Heatwave Dec 1909,Environmental,1909,-33.87330246,151.2070618,109
Cheviot,Shipwreck,1887,-38.31795502,144.5896912,35
Rover,Shipwreck,1841,-35.84926605,150.1885986,12
Gundagai,Flood,1852,-35.06316376,148.1075439,89
Dandenongs Aircraft Crash,Transport,1938,-37.83002472,145.3504333,18
Ly-Ee-Moon,Shipwreck,1886,-37.54811478,149.9024353,71
Dandenong,Shipwreck,1876,-35.16117859,150.782547,44
S.S. Douglas Mawson,Shipwreck,1923,-14.47723389,140.7348633,20
Spanish Flu,Epidemic,1918,-37.81215668,144.9628906,10000
Araluen and Braidwood,Flood,1860,-35.440813,149.798584,24
Brooklyn Train and Bus Collision,Transport,1944,-33.54708099,151.2264252,17
Whiskey Au Go-Go Nightclub Bombing,Criminal Act,1973,-27.45536041,153.032196,15
"Melbourne, Yarra Valley",Flood,1934,-37.81361008,144.9630585,36
Errol Middleton Reef,Shipwreck,1909,-32.56533432,152.4462891,17
Lightship Rose,Shipwreck,1857,-27.16303062,153.356781,16
Eastern Australia,Flood,1974,-27.47084808,153.0234222,14
Wonthaggi Gas Explosion,Industrial,1937,-38.60572815,145.5885315,13
Widespread Victoria,Bushfire,1906,-38.60105896,146.3005219,12
PSS Cawarra,Shipwreck,1866,-33.2800293,151.6387939,62
Australian Capital Territory and South-West New South Wales,Bushfire,1951,-35.11680222,147.3616333,13
Cape York and Townsville,Severe Storm,1934,-16.07979584,145.4644775,75
Ash Wednesday,Bushfire,1983,-37.40233612,144.5871124,75
Bolwarra,Flood,1857,-32.707578,151.575108,26
Lara and Melbourne Fringe,Bushfire,1969,-38.0235939,144.4078674,23
Sappho,Shipwreck,1858,-39.15828323,146.3859558,50
Blue Mountains and Illawarra,Bushfire,1968,-33.59318924,150.5356445,14
Black Tuesday Tasmania,Bushfire,1967,-43.16512299,146.2417603,62
Clybucca Flat (near Kempsey) Bus Collision,Transport,1989,-30.94066048,152.9444427,35
Nowra,Flood,1860,-34.867905,150.596981,16
Dunbar,Shipwreck,1857,-33.85188675,151.2542725,121
Christina Fraser,Shipwreck,1933,-37.56570435,149.9029999,18
"Lily of the Lake, Wild Wave, Blossom",Shipwreck,1875,-21.91247177,114.2248535,57
Sibigo,Shipwreck,1945,-16.4992981,146.1621094,72
Kianga Mine,Industrial,1975,-24.5621109,149.9695587,13
Carlisle Castle and City of York,Shipwreck,1899,-32.05973816,115.7182236,33
Balclutha,Shipwreck,1881,-37.58675766,149.8890533,22
Domain,Shipwreck,1846,-39.010648,146.163483,14
Alert,Shipwreck,1893,-39.09809494,146.6921997,15
Star of Greece,Shipwreck,1888,-35.28150177,138.416748,17
Georgette,Shipwreck,1876,-33.97399902,114.9775772,12
Clermont and Peak Downs Feb 1870,Flood,1870,-22.81669426,147.6480103,15
Bubonic Plague Sydney,Epidemic,1900,-33.87497711,151.2158203,535
Bellbird Colliery,Industrial,1923,-32.84729004,151.3215637,21
Lake Illawarra,Complex Emergencies,1975,-42.94033813,147.3829651,12
Keilawarra,Shipwreck,1886,-30.23798943,153.1813049,40
Cape Moreton,Complex Emergencies,1943,-26.97470856,153.432312,268
South-East Victoria,Bushfire,1926,-37.75360107,145.6890869,60
