Year,Month,Marriage count,,,,,,,,,,,,,,,,
2020,January,7084,,,,,,,,,,,,,,,,
2020,February,10716,,,,,,,,,,,,,,,,
2020,March,10624,,,,,,,,,,,,,,,,
2020,April,3267,,,,,,,,,,,,,,,,
2020,May,3607,,,,,,,,,,,,,,,,
2020,June,3085,,,,,,,,,,,,,,,,
2020,July,3610,,,,,,,,,,,,,,,,
2020,August,4645,,,,,,,,,,,,,,,,
2020,September,5805,,,,,,,,,,,,,,,,
2020,October,9903,,,,,,,,,,,,,,,,
2020,November,8346,,,,,,,,,,,,,,,,
2020,December,7812,,,,,,,,,,,,,,,,
2021,January,6781,,,,,,,,,,,,,,,,
2021,February,7988,,,,,,,,,,,,,,,,
2021,March,11889,,,,,,,,,,,,,,,,
2021,April,10530,,,,,,,,,,,,,,,,
2021,May,9462,,,,,,,,,,,,,,,,
2021,June,5608,,,,,,,,,,,,,,,,
2021,July,3960,,,,,,,,,,,,,,,,
2021,August,3013,,,,,,,,,,,,,,,,
2021,September,5545,,,,,,,,,,,,,,,,
2021,October,7928,,,,,,,,,,,,,,,,
2021,November,10367,,,,,,,,,,,,,,,,
2021,December,9566,,,,,,,,,,,,,,,,
2022,January,8830,,,,,,,,,,,,,,,,
2022,February,12037,,,,,,,,,,,,,,,,
2022,March,13045,,,,,,,,,,,,,,,,
2022,April,12846,,,,,,,,,,,,,,,,
2022,May,9505,,,,,,,,,,,,,,,,
2022,June,6576,,,,,,,,,,,,,,,,
2022,July,6684,,,,,,,,,,,,,,,,
2022,August,7210,,,,,,,,,,,,,,,,
2022,September,11196,,,,,,,,,,,,,,,,
2022,October,15525,,,,,,,,,,,,,,,,
2022,November,13648,,,,,,,,,,,,,,,,
2022,December,9702,,,,,,,,,,,,,,,,
2023,January,7803,,,,,,,,,,,,,,,,
2023,February,8997,,,,,,,,,,,,,,,,
2023,March,13348,,,,,,,,,,,,,,,,
2023,April,11399,,,,,,,,,,,,,,,,
2023,May,8540,,,,,,,,,,,,,,,,
2023,June,6581,,,,,,,,,,,,,,,,
2023,July,6307,,,,,,,,,,,,,,,,
2023,August,7309,,,,,,,,,,,,,,,,
2023,September,12045,,,,,,,,,,,,,,,,
2023,October,12905,,,,,,,,,,,,,,,,
2023,November,13265,,,,,,,,,,,,,,,,
2023,December,9256,,,,,,,,,,,,,,,,
2024,January,7387,,,,,,,,,,,,,,,,
2024,February,10031,,,,,,,,,,,,,,,,
2024,March,12860,,,,,,,,,,,,,,,,
2024,April,11834,,,,,,,,,,,,,,,,
2024,May,8856,,,,,,,,,,,,,,,,
2024,June,7285,,,,,,,,,,,,,,,,
2024,July,6318,,,,,,,,,,,,,,,,
2024,August,8869,,,,,,,,,,,,,,,,
2024,September,11007,,,,,,,,,,,,,,,,
2024,October,13051,,,,,,,,,,,,,,,,
2024,November,13742,,,,,,,,,,,,,,,,
2024,December,8299,,,,,,,,,,,,,,,,
